# ============================================================================
# assets/tf_regulons_minimal.tsv — TF-靶基因关系（回退用最小表）
# ============================================================================
# **这不是 dorothea 的替代品。** dorothea 有约 1000 个 TF、30 万条关系
# （置信度 A/B/C）；本表只有几十个 TF、几百条关系。
#
# 它的唯一用途：当 CI 装不上 dorothea 时，TF 调控分析仍然能跑出一个
# **示例级**结果，而不是整步消失。此时 tf_status.json 的
# `coverage` 会写成 `minimal`，结论不得当全基因组结论。
#
# 选取依据：这些 TF 在乳腺癌/上皮肿瘤的 bulk 转录组文献里反复出现，
# 且靶基因是各 TF 的经典直接靶点（不追求覆盖度，只追求"靶点无争议"）。
#
# 列：
#   tf     转录因子（HGNC symbol）
#   target 靶基因（HGNC symbol）
#   mor    调控方向：1 = 激活，-1 = 抑制
# ============================================================================
tf	target	mor
RELA	CCND1	1
RELA	BIRC3	1
RELA	BCL2L1	1
RELA	XIAP	1
RELA	MMP9	1
RELA	VEGFA	1
RELA	ICAM1	1
RELA	NFKBIA	1
RELA	TNFAIP3	1
NFKB1	IL6	1
NFKB1	IL8	1
NFKB1	TNF	1
NFKB1	BCL2L1	1
NFKB1	BIRC3	1
NFKB1	NFKBIA	1
NFKB1	TNFAIP3	1
NFKB1	CCL2	1
NFKB1	VCAM1	1
NFKB1	ICAM1	1
STAT3	BCL2L1	1
STAT3	MYC	1
STAT3	CCND1	1
STAT3	MCL1	1
STAT3	VEGFA	1
STAT3	MMP9	1
STAT3	SOCS3	1
STAT3	BIRC5	1
STAT3	HIF1A	1
STAT3	TWIST1	1
STAT1	IRF1	1
STAT1	GBP1	1
STAT1	GBP2	1
STAT1	CXCL10	1
STAT1	CXCL9	1
STAT1	IFIT1	1
STAT1	IFIT3	1
STAT1	ISG15	1
STAT1	OAS1	1
STAT1	MX1	1
STAT1	STAT1	1
STAT1	PSMB9	1
STAT1	TAP1	1
STAT1	HLA-DRA	1
HIF1A	VEGFA	1
HIF1A	SLC2A1	1
HIF1A	LDHA	1
HIF1A	PGK1	1
HIF1A	ENO1	1
HIF1A	CA9	1
HIF1A	BNIP3	1
HIF1A	PDK1	1
HIF1A	ADM	1
HIF1A	ANGPTL4	1
HIF1A	MIF	1
HIF1A	EGLN3	1
MYCN	MYCNOS	1
MYCN	MDM2	1
MYCN	ODC1	1
MYCN	NPM1	1
MYCN	MCM2	1
MYCN	CCND2	1
MYCN	CDC25A	1
MYCN	MCM7	1
MYCN	DDX1	1
MYCN	SLBP	1
MYCN	GATA2	1
MYCN	TWIST1	1
SP1	CDKN1A	1
SP1	VEGFA	1
SP1	MMP2	1
SP1	TGFBR2	1
SP1	DHFR	1
SP1	TYMS	1
SP1	PCNA	1
SP1	EGF	1
SP1	EGFR	1
SP1	COL1A1	1
SP1	CDK2	1
SP1	MYC	1
SP1	BIRC5	1
SP1	VIM	1
SP1	CDH1	-1
YY1	MYC	1
YY1	PCNA	1
YY1	CCND1	1
YY1	BCL2	1
YY1	MDR1	1
YY1	E2F1	1
YY1	CDKN1A	-1
YY1	TP53	-1
YY1	BAX	-1
YY1	APAF1	-1
CTNNB1	MYC	1
CTNNB1	CCND1	1
CTNNB1	MMP7	1
CTNNB1	AXIN2	1
CTNNB1	LEF1	1
CTNNB1	TCF7	1
CTNNB1	LGR5	1
CTNNB1	CD44	1
CTNNB1	VIM	1
CTNNB1	JUN	1
CTNNB1	FGF18	1
CTNNB1	BIRC5	1
TCF7L2	MYC	1
TCF7L2	CCND1	1
TCF7L2	AXIN2	1
TCF7L2	LGR5	1
TCF7L2	MMP7	1
TCF7L2	CD44	1
LEF1	CCND1	1
LEF1	MYC	1
LEF1	AXIN2	1
LEF1	CD44	1
JUN	CCND1	1
JUN	MMP1	1
JUN	MMP3	1
JUN	MMP9	1
JUN	VEGFA	1
JUN	CD44	1
JUN	CCL2	1
JUN	IL6	1
JUN	TP53	-1
JUN	CDKN1A	-1
FOS	MMP1	1
FOS	MMP3	1
FOS	CCND1	1
FOS	VEGFA	1
FOS	IL6	1
FOS	CCL2	1
FOS	CDKN1A	-1
FOSL1	MMP1	1
FOSL1	MMP9	1
FOSL1	VIM	1
FOSL1	CDH1	-1
JUND	CCND1	1
JUND	MMP1	1
JUND	VEGFA	1
ATF3	CDKN1A	1
ATF3	MMP2	1
ATF3	TWIST1	1
ATF3	IL6	1
ATF3	ID1	-1
ATF3	TP53	-1
EGR1	CDKN1A	1
EGR1	TP53	1
EGR1	PTEN	1
EGR1	TGFB1	1
EGR1	IL6	1
EGR1	CCL2	1
EGR1	VEGFA	1
EGR1	MMP9	1
EGR1	CD44	1
EGR1	FN1	1
EGR1	MYC	-1
EGR1	CCND1	-1
SPDEF	FOXA1	1
SPDEF	KRT7	1
SPDEF	MUC1	1
SPDEF	ESR1	1
SPDEF	AGR2	1
SPDEF	KRT8	1
SPDEF	KRT18	1
SPDEF	CDH1	1
SPDEF	VIM	-1
SPDEF	MMP9	-1
CEBPB	IL6	1
CEBPB	IL8	1
CEBPB	CCL2	1
CEBPB	MMP9	1
CEBPB	VEGFA	1
CEBPB	SAA1	1
CEBPB	CRP	1
CEBPB	FOS	1
CEBPB	CEBPD	1
CEBPB	NFKB1	1
CEBPD	IL6	1
CEBPD	IL8	1
CEBPD	CCL2	1
CEBPD	MMP1	1
CEBPD	VEGFA	1
CEBPD	CEBPB	1
CEBPD	NFKB1	1
CEBPD	SAA1	1
PPARG	FABP4	1
PPARG	ADIPOQ	1
PPARG	CD36	1
PPARG	LPL	1
PPARG	PLIN1	1
PPARG	MMP1	-1
PPARG	MMP9	-1
PPARG	CCND1	-1
PPARG	IL6	-1
PPARG	TNF	-1
PPARG	NOS2	-1
PPARG	VEGFA	-1
NR3C1	FKBP5	1
NR3C1	TSC22D3	1
NR3C1	PER1	1
NR3C1	SGK1	1
NR3C1	ANKRD1	1
NR3C1	DUSP1	1
NR3C1	IL6	-1
NR3C1	IL8	-1
NR3C1	CCL2	-1
NR3C1	TNF	-1
NR3C1	MMP9	-1
NR3C1	NFKB1	-1
NR3C1	JUN	-1
NR3C1	FOS	-1
AR	KLK3	1
AR	KLK2	1
AR	TMPRSS2	1
AR	FKBP5	1
AR	NKX3-1	1
AR	STEAP4	1
AR	PLPP1	1
AR	CCND1	1
AR	ELL2	1
AR	UBE2C	1
AR	MYC	1
AR	CDKN1A	1
AR	FOXA1	1
AR	MMP2	-1
AR	MMP9	-1
AR	IL6	-1
AR	VEGFA	-1
AR	CCL2	-1
AR	CD44	-1
AR	TWIST1	-1
AR	VIM	-1
AR	CDH1	1
AR	ESR1	-1
AR	PGR	-1
AR	ERBB2	-1
PGR	FKBP5	1
PGR	SGK1	1
PGR	CCND1	1
PGR	WNT4	1
PGR	RANKL	1
PGR	IL6	-1
PGR	MMP9	-1
PGR	CCL2	-1
PGR	ESR1	-1
PGR	MMP2	-1
PGR	MMP3	-1
PGR	MMP7	-1
PGR	MMP11	-1
PGR	VEGFA	-1
PGR	TNF	-1
PGR	IL8	-1
SMAD3	CDKN1A	1
SMAD3	JUN	1
SMAD3	SERPINE1	1
SMAD3	MMP2	1
SMAD3	COL1A1	1
SMAD3	COL1A2	1
SMAD3	COL3A1	1
SMAD3	FN1	1
SMAD3	TGFB1	1
SMAD3	CDH1	-1
SMAD3	MYC	-1
SMAD3	MMP9	1
SMAD3	VIM	1
SMAD3	THBS1	1
SMAD3	CTGF	1
SMAD3	SKIL	1
SMAD2	COL1A1	1
SMAD2	COL1A2	1
SMAD2	SERPINE1	1
SMAD2	MMP2	1
SMAD2	FN1	1
SMAD2	CTGF	1
SMAD2	TGFB1	1
SMAD2	CDH1	-1
SMAD2	MYC	-1
SMAD4	CDKN1A	1
SMAD4	SERPINE1	1
SMAD4	COL1A1	1
SMAD4	MMP2	1
SMAD4	CTGF	1
SMAD4	MYC	-1
SMAD4	CDH1	-1
SMAD4	CCND1	-1
TWIST1	CDH1	-1
TWIST1	CDH2	1
TWIST1	FN1	1
TWIST1	VIM	1
TWIST1	MMP2	1
TWIST1	MMP9	1
TWIST1	AKT2	1
TWIST1	BMI1	1
TWIST1	YBX1	1
TWIST1	TP53	-1
SNAI1	CDH1	-1
SNAI1	CDH2	1
SNAI1	FN1	1
SNAI1	VIM	1
SNAI1	MMP2	1
SNAI1	MMP9	1
SNAI1	TWIST1	1
SNAI1	ZEB1	1
SNAI1	CLDN1	-1
SNAI1	MUC1	-1
SNAI1	ESR1	-1
SNAI2	CDH1	-1
SNAI2	CDH2	1
SNAI2	VIM	1
SNAI2	FN1	1
SNAI2	MMP2	1
SNAI2	MMP9	1
SNAI2	ZEB1	1
SNAI2	ESR1	-1
SNAI2	KRT8	-1
SNAI2	KRT18	-1
ZEB1	CDH1	-1
ZEB1	CDH2	1
ZEB1	VIM	1
ZEB1	FN1	1
ZEB1	MMP2	1
ZEB1	MMP9	1
ZEB1	SNAI1	1
ZEB1	SNAI2	1
ZEB1	TWIST1	1
ZEB1	ESR1	-1
ZEB1	PGR	-1
ZEB1	KRT8	-1
ZEB1	KRT18	-1
ZEB1	CDH1	-1
ZEB2	CDH1	-1
ZEB2	CDH2	1
ZEB2	VIM	1
ZEB2	FN1	1
ZEB2	MMP2	1
ZEB2	MMP9	1
ZEB2	ESR1	-1
ZEB2	KRT8	-1
ZEB2	CDH1	-1
KLF4	CDKN1A	1
KLF4	CDH1	1
KLF4	KRT8	1
KLF4	KRT18	1
KLF4	MUC1	1
KLF4	TP53	1
KLF4	MYC	-1
KLF4	CCND1	-1
KLF4	MMP9	-1
KLF4	VIM	-1
KLF4	TWIST1	-1
KLF4	SNAI1	-1
KLF5	CCND1	1
KLF5	MYC	1
KLF5	FGFBP1	1
KLF5	TNFAIP3	1
KLF5	CDKN1A	1
KLF5	ESR1	1
KLF5	KRT5	1
KLF5	MMP9	1
KLF5	VEGFA	1
KLF5	TGFB1	1
KLF5	CDH1	-1
KLF5	VIM	1
KLF5	TWIST1	1
KLF5	IL6	1
KLF5	IL8	1
KLF5	CCL2	1
KLF5	CD44	1
ELF3	ESR1	1
ELF3	FOXA1	1
ELF3	KRT7	1
ELF3	KRT8	1
ELF3	KRT18	1
ELF3	CDH1	1
ELF3	MUC1	1
ELF3	AGR2	1
ELF3	MMP9	-1
ELF3	VIM	-1
ELF3	TWIST1	-1
ELF3	SNAI1	-1
ELF3	SNAI2	-1
ELF5	ESR1	1
ELF5	FOXA1	1
ELF5	KRT7	1
ELF5	CDH1	1
ELF5	MUC1	1
ELF5	AGR2	1
ELF5	PRLR	1
ELF5	STAT5A	1
ELF5	VIM	-1
ELF5	MMP9	-1
GATA2	ESR1	1
GATA2	FOXA1	1
GATA2	KRT7	1
GATA2	CDH1	1
GATA2	PGR	1
GATA2	MUC1	1
GATA2	AGR2	1
GATA2	AR	1
GATA2	VIM	-1
GATA2	MMP9	-1
GATA2	TWIST1	-1
GATA2	ZEB1	-1
GATA2	IL6	1
GATA2	CCL2	1
GATA2	VEGFA	1
GATA2	CD44	1
GATA2	MYC	1
GATA2	CCND1	1
GATA2	BIRC5	1
GATA2	TOP2A	1
GATA2	MKI67	1
GATA2	FOXM1	1
GATA2	E2F1	1
GATA2	MCM2	1
GATA2	PCNA	1
GATA2	TYMS	1
GATA2	RRM2	1
GATA2	UBE2C	1
GATA2	AURKA	1
GATA2	PLK1	1
GATA2	CDC20	1
GATA2	CDK1	1
GATA2	CCNB1	1
GATA2	BUB1	1
GATA2	NDC80	1
GATA2	TPX2	1
GATA2	KIF20A	1
GATA2	NEK2	1
GATA2	CENPA	1
GATA2	MYBL2	1
GATA2	SKP2	1
GATA2	CDC25B	1
GATA2	CCNB2	1
GATA2	RRM1	1
GATA2	MCM3	1
GATA2	MCM5	1
GATA2	MCM6	1
GATA2	MCM7	1
GATA2	ORC1	1
GATA2	CDC6	1
GATA2	POLA1	1
GATA2	TOP2A	1
GATA2	BIRC5	1
GATA2	CDKN3	1
GATA2	CCNA2	1
GATA2	CCNE1	1
GATA2	CDK4	1
GATA2	CDK2	1
GATA2	E2F1	1
